Number FPS
0 5.82291248424638e-10
1 145.8813973510344
2 143.94162447375538
3 144.12268154497
4 143.9430995800248
5 143.51985582900224
6 144.50979106253678
7 142.0313513741357
8 143.9760400590989
9 144.05751176350063
10 143.94810830598863
11 143.95843561517478
12 144.0648485264821
13 144.01739459487877
14 143.96615633245855
15 144.0644731390741
16 143.9945757048222
17 144.00239051314819
18 143.99327118846108
19 141.9520768783427
20 144.1687695138091
21 143.95431823788294
22 144.01892927947682
23 144.0133704661501
24 131.9626227388826
25 144.00310654600386
26 142.97088977340067
27 144.1062896712
28 143.95205378076272
29 143.99724210562206
30 143.0561841185265
31 143.94512361224747
32 144.01439352840592
33 144.02530709697066
34 143.07956769572115
35 143.91473481273422
36 144.0822549999763
37 143.9341464931678
38 143.9960829123206
39 143.08031338480606
40 143.95548480420325
41 143.99292789861033
42 144.01156309168732
43 143.98326484248526
44 143.081160768201
45 143.957406248771
46 144.09741229633113
47 143.8853871635167
48 144.11499738984816
49 143.9640287632599
50 144.07266385410566
51 132.9800259074398
52 143.95647983159387
53 144.05597625651677
